state,East,North,North-East,North-West,South,South-East,South-West,West,TOTAL
Tunis Governorate,9.82%,9.41%,17.38%,16.77%,11.04%,16.97%,12.88%,5.73%,489
Médenine Governorate,5.61%,7.46%,7.98%,14.11%,16.17%,13.00%,17.06%,18.61%,1354
Gabès Governorate,4.74%,37.76%,1.58%,39.65%,5.53%,6.16%,2.53%,2.05%,633
Ariana Governorate,10.71%,3.57%,7.54%,11.51%,11.51%,40.87%,10.32%,3.97%,252
Sfax Governorate,6.49%,16.12%,33.03%,9.03%,12.67%,7.19%,8.73%,6.74%,2004
Kairouan Governorate,24.06%,11.65%,13.16%,2.26%,7.14%,20.68%,4.51%,16.54%,266
C 90,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,3
Nabeul Governorate,5.79%,13.08%,13.25%,18.87%,9.93%,25.17%,7.62%,6.29%,604
Mahdia Governorate,9.18%,26.65%,15.27%,10.94%,8.21%,9.80%,9.89%,10.06%,1133
Sousse Governorate,10.03%,17.04%,10.69%,12.78%,14.29%,10.11%,10.28%,14.79%,1197
Monastir Governorate,9.50%,17.91%,8.95%,16.25%,17.63%,8.82%,7.85%,13.09%,726
Bizerte Governorate,18.45%,7.28%,9.55%,12.94%,13.27%,20.55%,7.44%,10.52%,618
Ghizen,91.67%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,12
Ben Arous Governorate,10.37%,6.42%,15.06%,23.21%,8.89%,17.53%,10.62%,7.90%,405
Manubah Governorate,19.64%,12.50%,12.50%,16.07%,1.79%,23.21%,1.79%,12.50%,56
Monastir,0.00%,0.00%,0.00%,0.00%,76.92%,0.00%,23.08%,0.00%,13
C96,71.43%,0.00%,28.57%,0.00%,0.00%,0.00%,0.00%,0.00%,7
C82,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1
Raoued,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,5
شـارع البيئة,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,4
الملاحة,50.00%,0.00%,0.00%,16.67%,0.00%,0.00%,16.67%,16.67%,6
Tunis,11.11%,44.44%,0.00%,11.11%,22.22%,11.11%,0.00%,0.00%,9
P1,0.00%,60.00%,0.00%,10.00%,30.00%,0.00%,0.00%,0.00%,20
A1,0.00%,88.33%,0.00%,5.00%,1.67%,1.67%,0.00%,3.33%,60
Chau. Romaine Djerba-Zarzis,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,0.00%,0.00%,5
Fatou,80.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,5
اولادبوسمير,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5
Sidi Bin Nur,0.00%,50.00%,0.00%,25.00%,0.00%,25.00%,0.00%,0.00%,4
Kerker,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1
Yasmine Hammamet,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,33.33%,0.00%,9
Khniss,0.00%,0.00%,0.00%,60.00%,40.00%,0.00%,0.00%,0.00%,5
GP3,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1
Pont de Radès - La Goulette,50.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,4
Ben Arous,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,2
Sayada,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,1
Mégrine,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,2
Tabulbah,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1
Houmt Souk,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,2
Béni Khiar,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1
Mahdia,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,0.00%,3
الشوارعية,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1
RN1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1
Rue kairouan,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,1
